id,business_name,city,phone,email,address,postal_code,scraped_text,services,brand_color_1,brand_color_2,style_preset,status,deployed_url
15,Nijmegen Dental Care,Nijmegen,024 360 7733,info@nijmegen-dental.nl,Lange Hezelstraat 31,6511 CM,Professionele tandheelkunde aan de Waal.,"Parodontologie, Angstbehandeling, Mondhygiëne",#8E44AD,#7D3C98,ocean-depths,completed,https://tandarts-nijmegen-dental-care.pages.dev
16,Haarlem Tandarts,Haarlem,023 532 1199,hallo@haarlемtandarts.nl,Grote Houtstraat 45,2011 SZ,Vertrouwde tandartspraktijk in het historische centrum van Haarlem.,"Preventieve zorg, Composiet vullingen, Invisalign",#16A085,#148A72,tech-innovation,completed,https://tandarts-haarlem-tandarts.pages.dev
17,Arnhem Mondzorg,Arnhem,026 442 5566,info@arnhemmondzorg.nl,Ketelstraat 18,6811 HC,Tandheelkundige zorg voor jong en oud in Arnhem.,"Implantaten, Protheses, Kindertandheelkunde",#C0392B,#A93226,warm-editorial,failed,
18,Zaandam Tandartspraktijk,Zaandam,075 616 3344,contact@zaandamtandarts.nl,Gedempte Gracht 10,1502 AM,Moderne tandheelkunde dichtbij Amsterdam.,"Kronen en bruggen, Tandbleken, Noodbehandeling",#1A5276,#154360,ocean-depths,completed,https://tandarts-zaandam-tandartspraktijk.pages.dev
19,Amersfoort Dental,Amersfoort,033 475 8822,info@amersfoortdental.nl,Langestraat 55,3811 AH,Uw tandarts in het gezellige centrum van Amersfoort.,"Esthetische tandheelkunde, Aligners, Parodontologie",#1E8449,#196F3D,tech-innovation,failed,
20,Apeldoorn Tandarts,Apeldoorn,055 522 7711,info@apeldoorntandarts.nl,Marktplein 3,7311 DD,Tandheelkundige zorg voor het hele gezin in Apeldoorn.,"Preventieve zorg, Implantaten, Angstbehandeling",#2471A3,#1F618D,warm-editorial,completed,https://tandarts-apeldoorn-tandarts.pages.dev
21,Smile Clinic Hoofddorp,Hoofddorp,023 565 4433,info@smileclinic-hoofddorp.nl,Polderplein 12,2132 BA,Moderne tandartspraktijk nabij Schiphol en Amsterdam.,"Digitale tandheelkunde, Veneers, Invisalign",#884EA0,#76448A,ocean-depths,completed,https://tandarts-smile-clinic-hoofddorp.pages.dev
22,Leiden Tandartspraktijk,Leiden,071 514 6655,info@leidentandarts.nl,Breestraat 78,2311 CS,Gecertificeerde tandheelkunde in de historische studentenstad Leiden.,"Controle en reiniging, Bleken, Kronen",#2E86C1,#2874A6,tech-innovation,completed,https://tandarts-leiden-tandartspraktijk.pages.dev
23,Maastricht Dental Studio,Maastricht,043 321 8899,hallo@maastrichtdental.nl,Vrijthof 20,6211 LC,Exclusieve tandheelkunde aan het Vrijthof in Maastricht.,"Esthetische tandheelkunde, Implantaten, All-on-4",#CB4335,#B03A2E,warm-editorial,completed,https://tandarts-maastricht-dental-studio.pages.dev
24,Dordrecht Mondzorg,Dordrecht,078 613 2244,info@dordrechtmondzorg.nl,Voorstraat 120,3311 ET,Tandartspraktijk voor het gezin in het oudste stadje van Holland.,"Kindertandheelkunde, Preventieve zorg, Protheses",#1ABC9C,#17A589,ocean-depths,completed,https://tandarts-dordrecht-mondzorg.pages.dev
25,Zwolle Tandartspraktijk,Zwolle,038 421 5577,info@zwolletandarts.nl,Melkmarkt 16,8011 MD,Professionele tandheelkunde in het centrum van Zwolle.,"Implantaten, Orthodontie, Mondhygiëne",#2980B9,#1F618D,tech-innovation,completed,https://tandarts-zwolle-tandartspraktijk.pages.dev
26,Deventer Dental,Deventer,0570 612 3388,info@deventerdental.nl,Brink 25,7411 BV,Warme en professionele tandheelkunde aan de IJssel.,"Angstbehandeling, Tandbleken, Composiet vullingen",#E67E22,#D35400,warm-editorial,completed,https://tandarts-deventer-dental.pages.dev
27,Alkmaar Tandarts,Alkmaar,072 511 7744,info@alkmaar-tandarts.nl,Langestraat 90,1811 HC,Uw vertrouwde tandarts in de kaasstad Alkmaar.,"Preventieve zorg, Kronen en bruggen, Implantaten",#1A5276,#154360,ocean-depths,failed,
28,Delft Mondzorg,Delft,015 213 6622,info@delftmondzorg.nl,Markt 18,2611 GP,Tandheelkundige zorg dichtbij de TU Delft campus.,"Esthetische tandheelkunde, Invisalign, Parodontologie",#117A65,#0E6655,tech-innovation,failed,
29,Leeuwarden Smile,Leeuwarden,058 212 4499,info@leeuwardensмile.nl,Nieuwestad 44,8911 JN,Moderne tandartspraktijk in de hoofdstad van Friesland.,"Bleken, Veneers, Kindertandheelkunde",#922B21,#7B241C,warm-editorial,failed,
30,Enschede Tandartspraktijk,Enschede,053 433 8811,info@enschedetandarts.nl,Oude Markt 15,7511 GB,Tandheelkundige zorg voor de studenten en inwoners van Enschede.,"Preventieve zorg, Implantaten, Angstbehandeling",#2471A3,#1A5276,ocean-depths,failed,
